,N,hit_rate,Algorithm
0,1,0.10179640718562874,Algorithm 2
1,2,0.14884516680923868,Algorithm 2
2,3,0.18562874251497005,Algorithm 2
3,4,0.21214713430282292,Algorithm 2
4,5,0.24123182207014543,Algorithm 2
5,6,0.2668947818648417,Algorithm 2
6,7,0.2925577416595381,Algorithm 2
7,8,0.3045337895637297,Algorithm 2
8,9,0.31565440547476475,Algorithm 2
9,10,0.32934131736526945,Algorithm 2
10,11,0.3421727972626176,Algorithm 2
11,12,0.3532934131736527,Algorithm 2
12,13,0.3618477331052181,Algorithm 2
13,14,0.3686911890504705,Algorithm 2
14,15,0.3781009409751925,Algorithm 2
15,16,0.3857998289136014,Algorithm 2
16,17,0.3960650128314799,Algorithm 2
17,18,0.4020530367835757,Algorithm 2
18,19,0.41060735671514115,Algorithm 2
19,20,0.41830624465355004,Algorithm 2
20,21,0.42600513259195893,Algorithm 2
21,22,0.4294268605645851,Algorithm 2
22,23,0.4345594525235244,Algorithm 2
23,24,0.4422583404619333,Algorithm 2
24,25,0.4473909324208725,Algorithm 2
25,26,0.4525235243798118,Algorithm 2
26,27,0.4593669803250642,Algorithm 2
27,28,0.4636441402908469,Algorithm 2
28,29,0.4644995722840034,Algorithm 2
29,30,0.4696321642429427,Algorithm 2
30,31,0.4739093242087254,Algorithm 2
31,32,0.47476475620188197,Algorithm 2
32,33,0.47818648417450815,Algorithm 2
33,34,0.4833190761334474,Algorithm 2
34,35,0.48502994011976047,Algorithm 2
35,36,0.48845166809238666,Algorithm 2
36,37,0.49187339606501285,Algorithm 2
37,38,0.49786142001710865,Algorithm 2
38,39,0.5004277159965783,Algorithm 2
39,40,0.5012831479897348,Algorithm 2
40,41,0.5021385799828914,Algorithm 2
41,42,0.5072711719418306,Algorithm 2
42,43,0.5106928999144568,Algorithm 2
43,44,0.5115483319076134,Algorithm 2
44,45,0.5132591958939264,Algorithm 2
45,46,0.5149700598802395,Algorithm 2
46,47,0.5166809238665526,Algorithm 2
47,48,0.5192472198460223,Algorithm 2
48,49,0.5192472198460223,Algorithm 2
49,50,0.523524379811805,Algorithm 2
50,51,0.5243798118049615,Algorithm 2
51,52,0.5269461077844312,Algorithm 2
52,53,0.5295124037639007,Algorithm 2
53,54,0.5320786997433704,Algorithm 2
