,N,hit_rate,Algorithm
57,58,0.21129170230966637,Algorithm 2
58,59,0.21129170230966637,Algorithm 2
59,60,0.21129170230966637,Algorithm 2
60,61,0.21214713430282292,Algorithm 2
61,62,0.21214713430282292,Algorithm 2
62,63,0.21300256629597947,Algorithm 2
63,64,0.21300256629597947,Algorithm 2
64,65,0.21385799828913601,Algorithm 2
65,66,0.21385799828913601,Algorithm 2
66,67,0.21471343028229256,Algorithm 2
67,68,0.21471343028229256,Algorithm 2
68,69,0.2155688622754491,Algorithm 2
69,70,0.21642429426860565,Algorithm 2
70,71,0.2172797262617622,Algorithm 2
71,72,0.2172797262617622,Algorithm 2
72,73,0.2172797262617622,Algorithm 2
73,74,0.21813515825491872,Algorithm 2
74,75,0.21813515825491872,Algorithm 2
75,76,0.21813515825491872,Algorithm 2
76,77,0.21813515825491872,Algorithm 2
77,78,0.21813515825491872,Algorithm 2
78,79,0.21813515825491872,Algorithm 2
79,80,0.21813515825491872,Algorithm 2
80,81,0.21813515825491872,Algorithm 2
81,82,0.21813515825491872,Algorithm 2
82,83,0.21813515825491872,Algorithm 2
83,84,0.21813515825491872,Algorithm 2
84,85,0.21813515825491872,Algorithm 2
85,86,0.21813515825491872,Algorithm 2
86,87,0.21813515825491872,Algorithm 2
87,88,0.21813515825491872,Algorithm 2
88,89,0.21813515825491872,Algorithm 2
89,90,0.21899059024807527,Algorithm 2
90,91,0.21899059024807527,Algorithm 2
91,92,0.21899059024807527,Algorithm 2
92,93,0.21899059024807527,Algorithm 2
93,94,0.21899059024807527,Algorithm 2
94,95,0.21899059024807527,Algorithm 2
95,96,0.21899059024807527,Algorithm 2
96,97,0.21899059024807527,Algorithm 2
97,98,0.21899059024807527,Algorithm 2
98,99,0.21984602224123181,Algorithm 2
99,100,0.21984602224123181,Algorithm 2
